repo_id,full_name,stars,created_at,pushed_at,license_spdx,license_stratum,language,homepage,class_label,signal_type,has_repo_robots,repo_robots_blocks_all,repo_robots_blocks_ai_count,has_homepage_robots,homepage_robots_blocks_all,homepage_robots_blocks_ai_count,has_llms_txt,tdm_reservation_header,x_robots_noai,readme_opt_out_count,readme_opt_in_count,license_opt_out_count,license_opt_in_count
633262635,onyx-dot-app/onyx,30669,2023-04-27T06:04:01Z,2026-07-02T14:44:26Z,NOASSERTION,no_license,Python,https://onyx.app,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
4008931,StevenBlack/hosts,30649,2012-04-12T20:22:50Z,2026-07-01T02:43:36Z,MIT,permissive,Python,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
1431547,encode/django-rest-framework,30086,2011-03-02T17:13:56Z,2026-07-01T13:12:05Z,NOASSERTION,no_license,Python,https://www.django-rest-framework.org,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
54376220,AtsushiSakai/PythonRobotics,29920,2016-03-21T09:34:43Z,2026-06-29T20:02:50Z,NOASSERTION,no_license,Python,https://atsushisakai.github.io/PythonRobotics/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
247266215,JaidedAI/EasyOCR,29703,2020-03-14T11:46:39Z,2025-12-05T12:23:12Z,Apache-2.0,permissive,Python,https://www.jaided.ai,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
1481305,realpython/python-guide,29683,2011-03-15T03:24:20Z,2024-07-29T18:49:10Z,NOASSERTION,no_license,Batchfile,https://docs.python-guide.org,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
38696925,python-telegram-bot/python-telegram-bot,29278,2015-07-07T15:30:39Z,2026-07-01T01:10:50Z,GPL-3.0,copyleft,Python,https://python-telegram-bot.org,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
29749635,donnemartin/data-science-ipython-notebooks,29205,2015-01-23T19:38:29Z,2024-03-20T13:52:34Z,NOASSERTION,no_license,Python,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
152166877,d2l-ai/d2l-en,29091,2018-10-09T01:04:37Z,2024-08-18T08:02:36Z,NOASSERTION,no_license,Python,https://D2L.ai,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
762304524,ComposioHQ/composio,29069,2024-02-23T13:58:27Z,2026-07-02T11:40:59Z,MIT,permissive,TypeScript,https://docs.composio.dev,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
13926404,getredash/redash,28668,2013-10-28T13:19:39Z,2026-07-02T14:14:33Z,BSD-2-Clause,permissive,Python,http://redash.io/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
184460,celery/celery,28637,2009-04-24T11:31:24Z,2026-07-01T04:36:29Z,NOASSERTION,no_license,Python,https://docs.celeryq.dev,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
557075997,reflex-dev/reflex,28621,2022-10-25T03:08:48Z,2026-07-02T03:13:04Z,Apache-2.0,permissive,Python,https://reflex.dev,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
655459367,e2b-dev/awesome-ai-agents,28583,2023-06-19T00:20:06Z,2025-02-26T10:04:45Z,NOASSERTION,no_license,,https://e2b.dev/docs,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
828268839,NirDiamant/RAG_Techniques,28304,2024-07-13T16:08:36Z,2026-06-17T20:54:18Z,NOASSERTION,no_license,Jupyter Notebook,https://amzn.to/4cvxqSw,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
211124697,deezer/spleeter,28267,2019-09-26T15:40:46Z,2026-06-18T15:22:32Z,MIT,permissive,Python,https://research.deezer.com/projects/spleeter.html,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
82729529,google/python-fire,28216,2017-02-21T21:35:07Z,2026-07-01T08:19:02Z,NOASSERTION,no_license,Python,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
90194616,pydantic/pydantic,28174,2017-05-03T21:23:58Z,2026-07-02T10:03:20Z,MIT,permissive,Python,https://pydantic.dev/docs/validation,OPT_IN,llms.txt present at homepage; README keyword: ['llms.txt'],False,False,0,True,False,0,True,False,False,0,1,0,0
102973646,fastai/fastai,28056,2017-09-09T17:43:36Z,2026-06-29T01:42:20Z,Apache-2.0,permissive,Jupyter Notebook,http://docs.fast.ai,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
639835356,assafelovic/gpt-researcher,28023,2023-05-12T10:33:54Z,2026-06-28T18:39:06Z,Apache-2.0,permissive,Python,https://gptr.dev,AMBIGUOUS,"contradictory: opt-in=[llms.txt present at homepage] opt-out=[homepage robots.txt: blocks AI crawlers ['CCBot', 'Bytespider', 'Diffbot']]",False,False,0,True,False,5,True,False,False,0,0,0,0
1377867,locustio/locust,27959,2011-02-17T11:08:03Z,2026-07-01T03:11:13Z,MIT,permissive,Python,https://locust.cloud,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
90356372,ArchiveBox/ArchiveBox,27831,2017-05-05T08:50:14Z,2026-07-01T22:55:58Z,MIT,permissive,Python,https://archivebox.io,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
849406496,Fincept-Corporation/FinceptTerminal,27829,2024-08-29T14:38:08Z,2026-06-24T08:41:31Z,NOASSERTION,no_license,C++,https://fincept.in,OPT_OUT,"homepage robots.txt: blocks AI crawlers ['Amazonbot', 'Bytespider', 'CCBot']",False,False,0,True,False,5,False,False,False,0,0,0,0
253975496,srbhr/Resume-Matcher,27610,2020-04-08T03:26:49Z,2026-07-02T05:53:36Z,Apache-2.0,permissive,TypeScript,https://resumematcher.fyi/,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
946380199,openai/openai-agents-python,27590,2025-03-11T03:42:36Z,2026-07-02T06:42:43Z,MIT,permissive,Python,https://openai.github.io/openai-agents-python/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
1163834030,CloakHQ/CloakBrowser,27568,2026-02-22T08:09:57Z,2026-06-28T23:28:52Z,MIT,permissive,Python,https://cloakbrowser.dev/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
328349603,forthespada/CS-Books,27050,2021-01-10T09:49:05Z,2025-11-06T12:55:46Z,,no_license,,https://interviewguide.cn,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
93629835,walter201230/Python,26626,2017-06-07T11:52:22Z,2026-05-15T07:37:42Z,CC-BY-4.0,other,Python,https://learn-py.org/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
19953044,google/flatbuffers,26177,2014-05-19T18:33:01Z,2026-06-22T13:45:05Z,Apache-2.0,permissive,C++,https://flatbuffers.dev/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
20587599,apache/flink,26135,2014-06-07T07:00:10Z,2026-07-02T13:47:03Z,Apache-2.0,permissive,Java,https://flink.apache.org/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
896296825,PrefectHQ/fastmcp,25929,2024-11-30T01:47:40Z,2026-07-01T14:51:33Z,Apache-2.0,permissive,Python,https://gofastmcp.com,OPT_IN,llms.txt present at homepage; README keyword: ['llms.txt'],False,False,0,True,False,0,True,False,False,0,1,0,0
221654678,deepset-ai/haystack,25812,2019-11-14T09:05:28Z,2026-07-02T15:12:23Z,Apache-2.0,permissive,MDX,https://haystack.deepset.ai,OPT_IN,llms.txt present at homepage,False,False,0,False,False,0,True,False,False,0,0,0,0
51863547,ageron/handson-ml,25602,2016-02-16T19:48:39Z,2026-05-19T23:03:15Z,Apache-2.0,permissive,Jupyter Notebook,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
1027384981,langchain-ai/deepagents,25574,2025-07-27T23:07:53Z,2026-07-02T15:06:51Z,MIT,permissive,Python,https://docs.langchain.com/deepagents,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
74073233,keon/algorithms,25490,2016-11-17T22:32:08Z,2026-05-25T05:02:02Z,MIT,permissive,Python,http://keon.kim/algorithms/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
27291507,asdf-vm/asdf,25429,2014-11-29T04:41:43Z,2026-07-02T01:27:52Z,MIT,permissive,Go,https://asdf-vm.com/,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
43160685,zulip/zulip,25427,2015-09-25T16:37:25Z,2026-07-02T14:30:42Z,Apache-2.0,permissive,Python,https://zulip.com,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
72477752,pulumi/pulumi,25381,2016-10-31T21:02:47Z,2026-07-02T14:55:43Z,Apache-2.0,permissive,Go,https://www.pulumi.com,OPT_IN,llms.txt present at homepage,False,False,0,True,False,0,True,False,False,0,0,0,0
62743585,spotDL/spotify-downloader,25290,2016-07-06T18:19:20Z,2026-06-27T12:27:15Z,MIT,permissive,Python,https://spotdl.readthedocs.io/en/latest/,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
10332822,kovidgoyal/calibre,25238,2013-05-28T10:03:23Z,2026-07-02T04:49:03Z,GPL-3.0,copyleft,Python,https://calibre-ebook.com,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
243838973,fastai/fastbook,25080,2020-02-28T19:26:47Z,2024-08-16T14:38:24Z,NOASSERTION,no_license,Jupyter Notebook,,NONE,no detectable AI consent signal,False,False,0,False,False,0,False,False,False,0,0,0,0
79510167,pypa/pipenv,25061,2017-01-20T00:44:02Z,2026-06-24T13:08:09Z,MIT,permissive,Python,https://pipenv.pypa.io,NONE,no detectable AI consent signal,False,False,0,True,False,0,False,False,False,0,0,0,0
